Step	Part	Number	FreeCAD Label	Direction Coordinates	Filename
2 Attach the block - Parts	Block	1	Block001	[0.577350378036499, -0.5773500800132751, 0.5773503184318542, 0.707106775798902, 0.707106847070051, -2.937312615358678e-07]	block001.svg
2 Attach the block - Parts	M8x50	2	M8x50 005	[0.577350378036499, -0.5773500800132751, 0.5773503184318542, 0.707106775798902, 0.707106847070051, -2.937312615358678e-07]	m8x50.svg
