Step	Part	Number	FreeCAD Label	Direction Coordinates	Filename
3 Attach the fixed jaw - Parts	Fixed Jaw	1	Fixed Jaw001	[0.577350378036499, -0.5773500800132751, 0.5773503184318542, 0.707106775798902, 0.707106847070051, -2.937312615358678e-07]	fixed-jaw001.svg
3 Attach the fixed jaw - Parts	M8x50	2	M8x50 007	[0.577350378036499, -0.5773500800132751, 0.5773503184318542, 0.707106775798902, 0.707106847070051, -2.937312615358678e-07]	m8x50.svg
