Step	Part	Number	FreeCAD Label	Direction Coordinates	Filename
4.2 Attach the sliding jaw - Parts	End Plate	1	End Plate001	[0.577350378036499, -0.5773500800132751, 0.5773503184318542, 0.707106775798902, 0.707106847070051, -2.937312615358678e-07]	end-plate001.svg
4.2 Attach the sliding jaw - Parts	M8x25	2	M8x25 003	[0.577350378036499, -0.5773500800132751, 0.5773503184318542, 0.707106775798902, 0.707106847070051, -2.937312615358678e-07]	m8x25.svg
